NPRI_id,latitude,longitude
282,43.7447,-79.5297
284,45.5641,-73.4406
286,43.84802,-79.03599
299,43.7079,-79.359
302,45.27428,-72.11257
305,43.4203,-79.7212
308,45.7098,-73.42185
311,53.5799,-113.5764
312,54.389,-126.6517
315,43.9483,-78.2847
316,43.777,-79.5279
319,46.2667,-79.3778
321,43.7632,-79.2698
322,45.28472,-74.07814
326,43.7125,-79.6606
327,43.69374,-79.50446
330,45.6118,-73.5678
333,50.0738,-125.2833
341,43.6879,-79.7093
344,43.1101,-79.2092
351,42.9977,-79.2389
354,43.367,-79.7987
355,53.776,-113.0886
358,45.5883,-73.62
359,45.5653,-74.3361
360,45.36065,-73.52566
361,43.7948,-79.9261
362,49.1866,-122.9785
363,48.4628,-123.5735
365,48.4664,-123.5846
367,48.4592,-123.5514
369,49.8394,-97.1758
371,49.2004,-123.0772
373,45.4749,-73.8113
374,43.7644,-79.1697
375,45.29173,-72.96116
376,43.0922,-79.2061
377,45.5722,-73.4556
380,43.57215,-79.55995
383,43.62574,-79.54168
384,43.605,-79.52
389,44.8876,-76.2444
390,45.537,-73.4973
391,45.6977,-73.4151
393,43.0967,-80.4311
394,49.3711,-120.0231
397,44.1486,-79.8408
400,43.364,-79.8051
403,53.2885,-110.0183
405,53.9268,-122.7028
407,52.1463,-115.33
409,53.26311,-109.94889
417,43.6992,-79.4611
420,45.571,-73.1984
421,49.1981,-123.1096
422,43.6269,-79.6647
423,43.7841,-79.2763
424,53.0481,-113.921
426,50.7477,-114.4947
428,65.2873,-126.8812
430,53.3546,-113.715
432,54.9527,-119.1953
434,53.4213,-113.9044
436,52.2865,-114.9708
438,53.9527,-113.078
440,54.5723,-115.5229
442,54.59702,-110.39972
444,46.4786,-81.0553
447,45.25582,-74.12052
448,43.6206,-79.5772
449,45.431,-73.1673
452,42.8855,-79.2297
455,43.75888,-79.54943
456,43.744,-79.357
459,43.6742,-79.4758
461,44.7233,-75.5272
462,48.7183,-86.395
464,45.0467,-77.8322
465,45.7733,-71.9532
466,43.6683,-79.4444
476,49.9302,-97.0258
477,43.6967,-79.695
478,43.6904,-79.4856
479,52.998,-122.483
485,42.92248,-81.1915
488,44.785,-75.3767
494,42.6941,-82.4833
495,42.2833,-83.0864
500,43.712,-79.3612
502,53.5726,-113.566
504,46.092,-64.8479
506,45.4992,-73.753
508,49.17044,-122.93945
511,43.6297,-79.5303
514,50.2299,-119.091
517,43.70328,-79.7306
520,46.1677,-64.5913
523,43.2572,-79.8411
526,43.5257,-79.9104
529,45.4597,-73.7266
530,50.992,-114.059
536,55.3359,-119.223
538,43.7581,-79.5361
541,45.4975,-73.7551
544,42.3908,-82.2165
547,43.6622,-79.6417
548,49.8856,-97.0717
554,45.5402,-73.6658
557,50.98701,-113.97051
563,43.6542,-79.8886
566,43.58709,-79.59504
570,42.5833,-82.3833
571,43.9517,-78.2819
574,43.7633,-79.5339
577,43.7231,-79.2775
582,46.3375,-72.5833
585,49.1279,-123.0979
588,49.6914,-123.1596
591,43.5018,-79.6392
594,45.3945,-73.5183
597,49.1801,-122.9339
600,49.9114,-97.2083
603,44.7091,-63.6128
606,49.2577,-122.7664
612,43.5561,-80.2917
618,51.3138,-116.9804
621,51.4898,-123.1761
626,49.83768,-99.91766
632,43.6128,-79.5236
634,43.5882,-79.7265
635,43.4153,-79.8081
637,45.29668,-75.5757
639,45.4062,-73.4942
640,49.1417,-103.0014
642,43.6597,-79.3317
643,43.6695,-79.4479
645,43.1269,-80.3422
652,45.5783,-73.7281
653,50.6475,-113.772
656,42.9247,-78.9303
658,50.42525,-105.18785
661,53.5947,-113.4254
664,42.8481,-80.3184
666,43.6354,-80.0429
668,49.1383,-123.1642
671,45.2739,-66.0043
672,49.3357,-117.728
675,43.4268,-79.709
676,45.3093,-73.2882
679,43.7493,-79.7156
680,53.3887,-115.3169
683,54.1944,-116.6322
686,53.5468,-113.7348
689,53.244999,-115.674301
692,53.4759,-117.0365
695,55.3583,-114.6172
698,53.7469,-113.1645
701,44.62859,-79.43316
702,49.1591,-123.0032
705,45.5389,-73.5447
706,42.9706,-82.4081
708,43.8339,-79.021
711,43.8007,-79.5284
715,43.7579,-79.5642
716,45.3968,-73.5247
717,43.3645,-80.2916
718,55.78752,-120.28334
722,42.3175,-83.0043
723,49.87311,-124.55432
725,43.6876,-79.7381
728,43.0552,-79.088
729,45.5908,-73.7358
732,49.1941,-123.092
733,43.832,-79.0267
734,44.734,-79.8517
735,44.2,-77.3678
738,43.53062,-79.8882
741,45.03459,-74.66857
742,43.6675,-79.4522
743,43.6687,-79.4637
744,44.10881,-77.53274
745,44.97983,-64.92684
746,53.30097,-60.398
747,46.3714,-72.402
748,43.6969,-79.7212
750,43.2632,-79.8412
751,49.8766,-97.1406
752,45.6389,-73.5133
755,45.5361,-73.5528
757,53.5164,-113.3781
758,46.55679,-75.48099
762,49.88057,-97.03983
764,51.4191,-114.027
765,45.309,-73.894
